COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
ACADEMIC_TERMS_KEY,VARCHAR2,24,PRIMARY KEY,
TERM_CODE,VARCHAR2,24,PRIMARY KEY,
TERM_DESCRIPTION,VARCHAR2,120,,
TERM_SELECTOR,VARCHAR2,148,,
TERM_START_DATE,DATE,7,,
TERM_END_DATE,DATE,7,,
ACADEMIC_YEAR,VARCHAR2,16,,
ACADEMIC_YEAR_DESC,VARCHAR2,96,,
IS_CURRENT_TERM,VARCHAR2,4,,
TERM_STATUS_INDICATOR,VARCHAR2,4,,
FINANCIAL_AID_YEAR,VARCHAR2,16,,
DEGREE_YEAR,VARCHAR2,16,,
LAST_DAY_OF_FINAL_EXAM,DATE,7,,
PRE_REGISTRATION_START_DAY,DATE,7,,
REGISTRATION_DAY,DATE,7,,
FIRST_DAY_OF_CLASSES,DATE,7,,
LAST_DAY_OF_CLASSES,DATE,7,,
GRADUATE_AWARD_START_DATE,DATE,7,,
GRADUATE_AWARD_END_DATE,DATE,7,,
WAREHOUSE_LOAD_DATE,DATE,7,,
