COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
ACADEMIC_YEAR,VARCHAR2,16,,
SUBJECT_ID,VARCHAR2,32,PRIMARY KEY,FOREIGN KEY COURSE_CATALOG_SUBJECT_OFFERED (SUBJECT_ID)
SUBJECT_CODE,VARCHAR2,12,,FOREIGN KEY SIS_SUBJECT_CODE (SUBJECT_CODE)
SUBJECT_NUMBER,VARCHAR2,16,,
SOURCE_SUBJECT_ID,VARCHAR2,32,,
PRINT_SUBJECT_ID,VARCHAR2,200,,
IS_PRINTED_IN_BULLETIN,VARCHAR2,4,,
DEPARTMENT_CODE,VARCHAR2,16,,FOREIGN KEY STUDENT_DEPARTMENT (DEPARTMENT_CODE)
DEPARTMENT_NAME,VARCHAR2,120,,
EFFECTIVE_TERM_CODE,VARCHAR2,24,,
SUBJECT_SHORT_TITLE,VARCHAR2,120,,
SUBJECT_TITLE,VARCHAR2,600,,
IS_VARIABLE_UNITS,VARCHAR2,4,,
LECTURE_UNITS,NUMBER,22,,
LAB_UNITS,NUMBER,22,,
PREPARATION_UNITS,NUMBER,22,,
TOTAL_UNITS,NUMBER,22,,
DESIGN_UNITS,NUMBER,22,,
GRADE_TYPE,VARCHAR2,4,,
GRADE_TYPE_DESC,VARCHAR2,80,,
GRADE_RULE,VARCHAR2,4,,
GRADE_RULE_DESC,VARCHAR2,120,,
HGN_CODE,VARCHAR2,4,,
HGN_DESC,VARCHAR2,60,,
HGN_EXCEPT,VARCHAR2,360,,
GIR_ATTRIBUTE,VARCHAR2,16,,
GIR_ATTRIBUTE_DESC,VARCHAR2,160,,
COMM_REQ_ATTRIBUTE,VARCHAR2,16,,
COMM_REQ_ATTRIBUTE_DESC,VARCHAR2,160,,
TUITION_ATTRIBUTE,VARCHAR2,16,,
TUITION_ATTRIBUTE_DESC,VARCHAR2,160,,
WRITE_REQ_ATTRIBUTE,VARCHAR2,16,,
WRITE_REQ_ATTRIBUTE_DESC,VARCHAR2,160,,
SUPERVISOR_ATTRIBUTE,VARCHAR2,16,,
SUPERVISOR_ATTRIBUTE_DESC,VARCHAR2,160,,
PREREQUISITES,VARCHAR2,800,,
SUBJECT_DESCRIPTION,VARCHAR2,4000,,
JOINT_SUBJECTS,VARCHAR2,480,,
SCHOOL_WIDE_ELECTIVES,VARCHAR2,480,,
MEETS_WITH_SUBJECTS,VARCHAR2,480,,
EQUIVALENT_SUBJECTS,VARCHAR2,480,,
IS_OFFERED_THIS_YEAR,VARCHAR2,4,,
IS_OFFERED_FALL_TERM,VARCHAR2,4,,
IS_OFFERED_IAP,VARCHAR2,4,,
IS_OFFERED_SPRING_TERM,VARCHAR2,4,,
IS_OFFERED_SUMMER_TERM,VARCHAR2,4,,
FALL_INSTRUCTORS,VARCHAR2,720,,
SPRING_INSTRUCTORS,VARCHAR2,720,,
STATUS_CHANGE,VARCHAR2,800,,
LAST_ACTIVITY_DATE,DATE,7,,
WAREHOUSE_LOAD_DATE,DATE,7,,
MASTER_SUBJECT_ID,VARCHAR2,32,,
HASS_ATTRIBUTE,VARCHAR2,32,,FOREIGN KEY CIS_HASS_ATTRIBUTE (HASS_ATTRIBUTE)
HASS_ATTRIBUTE_DESC,VARCHAR2,160,,
TERM_DURATION,VARCHAR2,120,,
GLOBAL_REGIONS,VARCHAR2,360,,
GLOBAL_COUNTRIES,VARCHAR2,360,,
ON_LINE_PAGE_NUMBER,VARCHAR2,164,,
SO_SUBJECT_ID,VARCHAR2,32,,
SO_TERM_CODE,VARCHAR2,24,,
SO_TERM_DESCRIPTION,VARCHAR2,120,,
SO_CLUSTER_TYPE,VARCHAR2,4,,
SECTION_ID,VARCHAR2,4000,,
IS_MASTER_SECTION,VARCHAR2,4000,,
IS_LECTURE_SECTION,VARCHAR2,4000,,
IS_LAB_SECTION,VARCHAR2,4000,,
IS_RECITATION_SECTION,VARCHAR2,4000,,
IS_DESIGN_SECTION,VARCHAR2,4000,,
RESPONSIBLE_FACULTY_NAME,VARCHAR2,4000,,
RESPONSIBLE_FACULTY_MIT_ID,VARCHAR2,4000,,
MEET_TIME,VARCHAR2,4000,,
MEET_PLACE,VARCHAR2,4000,,
