COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
MIT_ID,VARCHAR2,36,,FOREIGN KEY WAREHOUSE_USERS (MIT_ID)
LAST_NAME,VARCHAR2,160,,
FIRST_NAME,VARCHAR2,160,,
MIDDLE_NAME,VARCHAR2,160,,
FULL_NAME,VARCHAR2,400,,
EMPLOYEE_GROUP,VARCHAR2,160,,
EMPLOYEE_TYPE,VARCHAR2,160,,
HAS_ADDL_APPOINTMENT,VARCHAR2,4,,
HAS_DUAL_APPOINTMENT,VARCHAR2,4,,
OFFICE_LOCATION,VARCHAR2,160,,
OFFICE_PHONE,VARCHAR2,60,,
HR_ORG_UNIT_ID,VARCHAR2,32,,
HR_ORG_UNIT_TITLE,VARCHAR2,300,,
DIRECTORY_TITLE,VARCHAR2,200,,
PRIMARY_TITLE,VARCHAR2,200,,
EMAIL_ADDRESS,VARCHAR2,400,,
PERSONAL_URL,VARCHAR2,600,,
WAREHOUSE_LOAD_DATE,DATE,7,,
