COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
MIT_ID,VARCHAR2,36,,FOREIGN KEY WAREHOUSE_USERS (MIT_ID)
LAST_NAME,VARCHAR2,160,,
FIRST_NAME,VARCHAR2,160,,
MIDDLE_NAME,VARCHAR2,160,,
FULL_NAME,VARCHAR2,400,,
DIRECTORY_FULL_NAME,VARCHAR2,340,,
OFFICE_LOCATION,VARCHAR2,160,,
OFFICE_PHONE,VARCHAR2,60,,
DIRECTORY_TITLE,VARCHAR2,200,,
PRIMARY_TITLE,VARCHAR2,200,,
DEPARTMENT_NUMBER,VARCHAR2,24,,
DEPARTMENT_NAME,VARCHAR2,400,,
KRB_NAME,VARCHAR2,32,,
KRB_NAME_UPPERCASE,VARCHAR2,32,,
EMAIL_ADDRESS,VARCHAR2,400,,
PERSONAL_URL,VARCHAR2,600,,
NAME_KNOWN_BY,VARCHAR2,160,,
EMAIL_ADDRESS_UPPERCASE,VARCHAR2,400,,
FULL_NAME_UPPERCASE,VARCHAR2,400,,
PREFERRED_FIRST_NAME_UPPER,VARCHAR2,160,,
PREFERRED_LAST_NAME_UPPER,VARCHAR2,160,,
