COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
COST_COLLECTOR_KEY,VARCHAR2,48,,
COST_COLLECTOR_FP_KEY,VARCHAR2,48,,
COST_COLLECTOR_FY_KEY,VARCHAR2,48,,
GL_ACCOUNT_KEY,VARCHAR2,40,,
TIME_MONTH_KEY,VARCHAR2,24,,FOREIGN KEY TIME_MONTH (TIME_MONTH_KEY)
AMOUNT,NUMBER,22,,
CUMULATIVE_AMOUNT,NUMBER,22,,
FYTD_AMOUNT,NUMBER,22,,
INSTITUTE_BUDGET,NUMBER,22,,
TOTAL_INSTITUTE_BUDGET,NUMBER,22,,
FYTD_INSTITUTE_BUDGET,NUMBER,22,,
DEPARTMENT_BUDGET,NUMBER,22,,
TOTAL_DEPARTMENT_BUDGET,NUMBER,22,,
FYTD_DEPARTMENT_BUDGET,NUMBER,22,,
ANNUAL_FORECAST_BUDGET,NUMBER,22,,
COMMITMENT_AMOUNT,NUMBER,22,,
NON_BL_ORDER_COMMITMENT_AMOUNT,NUMBER,22,,
COMMITMENT_AMOUNT_FY,NUMBER,22,,
NON_BL_ORDER_COMMIT_AMOUNT_FY,NUMBER,22,,
RECORD_TYPE,CHAR,10,,
RECORD_COUNTER,NUMBER,22,,
WAREHOUSE_LOAD_DATE,DATE,8,,
