COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
WAREHOUSE_LOAD_DATE,DATE,7,,
BUILDING_ADDRESS_KEY,VARCHAR2,64,PRIMARY KEY,
BUILDING_KEY,VARCHAR2,32,,FOREIGN KEY BUILDINGS (BUILDING_KEY)
ADDRESS_PURPOSE,VARCHAR2,32,,
ADDRESS_CITY_ID,VARCHAR2,64,,
IS_E911_ADDRESS,VARCHAR2,8,,
STREET_NUMBER,VARCHAR2,64,,
STREET_NUMBER_SUFFIX,VARCHAR2,64,,
PRE_DIRECTIONAL,VARCHAR2,64,,
STREET_NAME,VARCHAR2,128,,
STREET_SUFFIX,VARCHAR2,64,,
POST_DIRECTIONAL,VARCHAR2,64,,
CITY,VARCHAR2,64,,
STATE,VARCHAR2,16,,
POSTAL_CODE,VARCHAR2,40,,FOREIGN KEY ZIP_CANADA (POSTAL_CODE)
