COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
ORGANIZATION_KEY,VARCHAR2,64,PRIMARY KEY,
ORGANIZATION_ID,VARCHAR2,64,,
ORGANIZATION,VARCHAR2,128,,
ORGANIZATION_NAME,VARCHAR2,256,,
ORG_PARENT_KEY,VARCHAR2,64,,
ORG_PARENT,VARCHAR2,128,,
MAJOR_ORG_KEY,VARCHAR2,64,,
MAJOR_ORG,VARCHAR2,128,,
ORGANIZATION_LEVEL,VARCHAR2,16,,
ORGANIZATION_NUMBER,VARCHAR2,64,,
ORGANIZATION_SORT,VARCHAR2,64,,
ASSIGNABLE,VARCHAR2,16,,
COURSE,VARCHAR2,64,,
DESCRIPTION,VARCHAR2,1000,,
WAREHOUSE_LOAD_DATE,DATE,7,,
D_CODE,VARCHAR2,180,,FOREIGN KEY STUDENT_DEPARTMENT (D_CODE)
HR_DEPARTMENT_CODE_OLD,VARCHAR2,24,,
HR_ORG_UNIT_ID,VARCHAR2,32,,
HR_DEPARTMENT_NAME,VARCHAR2,300,,
