COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
FCLT_BUILDING_ADDRESS_KEY,VARCHAR2,64,,FOREIGN KEY FCLT_BUILDING_ADDRESS (FCLT_BUILDING_ADDRESS_KEY)
FCLT_BUILDING_KEY,VARCHAR2,32,,FOREIGN KEY FCLT_BUILDING (FCLT_BUILDING_KEY)
FISCAL_PERIOD,VARCHAR2,400,,FOREIGN KEY FRC_FISCAL_PERIODS (FISCAL_PERIOD)
FCLT_BUILDING_ADDRESS_HIST_KEY,VARCHAR2,468,PRIMARY KEY,
BUILDING_NUMBER,VARCHAR2,32,,
ADDRESS_PURPOSE,VARCHAR2,32,,
ADDRESS_CITY_ID,VARCHAR2,64,,
IS_E911_ADDRESS,VARCHAR2,8,,
STREET_NUMBER,VARCHAR2,64,,
STREET_NUMBER_SUFFIX,VARCHAR2,64,,
PRE_DIRECTIONAL,VARCHAR2,64,,
STREET_NAME,VARCHAR2,128,,
STREET_SUFFIX,VARCHAR2,64,,
POST_DIRECTIONAL,VARCHAR2,64,,
CITY,VARCHAR2,64,,
STATE,VARCHAR2,16,,
POSTAL_CODE,VARCHAR2,40,,FOREIGN KEY ZIP_CANADA (POSTAL_CODE)
WAREHOUSE_LOAD_DATE,DATE,7,,
