COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
FCLT_BUILDING_HIST_KEY,VARCHAR2,436,PRIMARY KEY,
FISCAL_PERIOD,VARCHAR2,400,,FOREIGN KEY FRC_FISCAL_PERIODS (FISCAL_PERIOD)
FCLT_BUILDING_KEY,VARCHAR2,32,,FOREIGN KEY FCLT_BUILDING (FCLT_BUILDING_KEY)
BUILDING_NUMBER,VARCHAR2,32,,
PARENT_BUILDING_NUMBER,VARCHAR2,32,,
PARENT_BUILDING_NAME,VARCHAR2,256,,
PARENT_BUILDING_NAME_LONG,VARCHAR2,512,,
BUILDING_NAME_LONG,VARCHAR2,512,,
EXT_GROSS_AREA,NUMBER,22,,
ASSIGNABLE_AREA,NUMBER,22,,
NON_ASSIGNABLE_AREA,NUMBER,22,,
SITE,VARCHAR2,64,,
CAMPUS_SECTOR,VARCHAR2,100,,
ACCESS_LEVEL_CODE,NUMBER,22,,
ACCESS_LEVEL_NAME,VARCHAR2,128,,
BUILDING_TYPE,VARCHAR2,32,,
OWNERSHIP_TYPE,VARCHAR2,32,,
BUILDING_USE,VARCHAR2,128,,
OCCUPANCY_CLASS,VARCHAR2,32,,
BUILDING_HEIGHT,VARCHAR2,128,,
COST_CENTER_CODE,VARCHAR2,64,,
COST_COLLECTOR_KEY,VARCHAR2,96,,
LATITUDE_WGS,NUMBER,22,,
LONGITUDE_WGS,NUMBER,22,,
EASTING_X_SPCS,NUMBER,22,,
NORTHING_Y_SPCS,NUMBER,22,,
BUILDING_SORT,VARCHAR2,40,,
BUILDING_NAMED_FOR,VARCHAR2,384,,
BUILDING_NAME,VARCHAR2,256,,
DATE_BUILT,VARCHAR2,64,,
DATE_ACQUIRED,VARCHAR2,64,,
DATE_OCCUPIED,VARCHAR2,64,,
WAREHOUSE_LOAD_DATE,DATE,7,,
NUM_OF_ROOMS,NUMBER,22,,
