COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
FCLT_FLOOR_HIST_KEY,VARCHAR2,456,PRIMARY KEY,
FISCAL_PERIOD,VARCHAR2,400,,FOREIGN KEY FRC_FISCAL_PERIODS (FISCAL_PERIOD)
FCLT_FLOOR_KEY,VARCHAR2,52,,FOREIGN KEY FCLT_FLOOR (FCLT_FLOOR_KEY)
FCLT_BUILDING_KEY,VARCHAR2,32,,FOREIGN KEY FCLT_BUILDING (FCLT_BUILDING_KEY)
FLOOR,VARCHAR2,16,,
EXT_GROSS_AREA,NUMBER,22,,
ASSIGNABLE_AREA,NUMBER,22,,
NON_ASSIGNABLE_AREA,NUMBER,22,,
FLOOR_SORT_SEQUENCE,VARCHAR2,12,,
LEVEL_ID,VARCHAR2,100,,
BUILDING_WINGS_ID,VARCHAR2,256,,
ACCESS_LEVEL,VARCHAR2,8,,
WAREHOUSE_LOAD_DATE,DATE,7,,
