COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
FCLT_ORGANIZATION_HIST_KEY,VARCHAR2,468,PRIMARY KEY,
FISCAL_PERIOD,VARCHAR2,400,,FOREIGN KEY FRC_FISCAL_PERIODS (FISCAL_PERIOD)
FCLT_ORGANIZATION_KEY,VARCHAR2,64,,FOREIGN KEY FCLT_ORGANIZATION (FCLT_ORGANIZATION_KEY)
ORGANIZATION_ID,VARCHAR2,64,,
ORGANIZATION,VARCHAR2,128,,
ORGANIZATION_NAME,VARCHAR2,256,,
FCLT_ORG_PARENT_KEY,VARCHAR2,64,,
ORG_PARENT,VARCHAR2,128,,
FCLT_MAJOR_ORG_KEY,VARCHAR2,64,,
MAJOR_ORG,VARCHAR2,128,,
ORGANIZATION_LEVEL,VARCHAR2,16,,
ORGANIZATION_NUMBER,VARCHAR2,64,,
ORGANIZATION_SORT,VARCHAR2,64,,
ASSIGNABLE,VARCHAR2,16,,
COURSE,VARCHAR2,64,,
DESCRIPTION,VARCHAR2,1000,,
WAREHOUSE_LOAD_DATE,DATE,7,,
DLC_KEY,VARCHAR2,60,,FOREIGN KEY FCLT_ORG_DLC_KEY (DLC_KEY)
DLC_NAME,VARCHAR2,280,,
HR_DEPARTMENT_CODE_OLD,VARCHAR2,24,,
HR_ORG_UNIT_ID,VARCHAR2,32,,
HR_DEPARTMENT_NAME,VARCHAR2,300,,
