COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
FCLT_ROOM_KEY,VARCHAR2,64,PRIMARY KEY,
BUILDING_ROOM,VARCHAR2,64,,
FCLT_BUILDING_KEY,VARCHAR2,32,,FOREIGN KEY FCLT_BUILDING (FCLT_BUILDING_KEY)
FLOOR,VARCHAR2,16,,
FCLT_FLOOR_KEY,VARCHAR2,48,,FOREIGN KEY FCLT_FLOOR (FCLT_FLOOR_KEY)
ROOM,VARCHAR2,32,,
SPACE_ID,VARCHAR2,84,,
FCLT_MAJOR_USE_KEY,VARCHAR2,64,,FOREIGN KEY FCLT_MAJOR_USE (FCLT_MAJOR_USE_KEY)
MAJOR_USE_DESC,VARCHAR2,48,,
FCLT_USE_KEY,VARCHAR2,64,,
USE_DESC,VARCHAR2,40,,
FCLT_MINOR_USE_KEY,VARCHAR2,64,,
MINOR_USE_DESC,VARCHAR2,64,,
FCLT_ORGANIZATION_KEY,VARCHAR2,64,,FOREIGN KEY FCLT_ORGANIZATION (FCLT_ORGANIZATION_KEY)
ORGANIZATION_NAME,VARCHAR2,128,,
FCLT_MINOR_ORGANIZATION_KEY,VARCHAR2,64,,
MINOR_ORGANIZATION,VARCHAR2,128,,
AREA,NUMBER,22,,
ROOM_FULL_NAME,VARCHAR2,256,,
DEPT_CODE,VARCHAR2,64,,
ACCESS_LEVEL,VARCHAR2,16,,
LATITUDE_WGS,NUMBER,22,,
LONGITUDE_WGS,NUMBER,22,,
NORTHING_SPCS,NUMBER,22,,
EASTING_SPCS,NUMBER,22,,
WAREHOUSE_LOAD_DATE,DATE,7,,
