COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
FUND_CENTER_KEY,VARCHAR2,136,PRIMARY KEY,
FUND_CENTER_ID,VARCHAR2,136,,
FUND_CENTER_NAME,VARCHAR2,160,,
FUND_CENTER_ID_LEVEL1,VARCHAR2,136,,
FUND_CENTER_NAME_LEVEL1,VARCHAR2,160,,
FUND_CENTER_ID_LEVEL2,VARCHAR2,136,,
FUND_CENTER_NAME_LEVEL2,VARCHAR2,160,,
FUND_CENTER_ID_LEVEL3,VARCHAR2,136,,
FUND_CENTER_NAME_LEVEL3,VARCHAR2,160,,
FUND_CENTER_ID_LEVEL4,VARCHAR2,136,,
FUND_CENTER_NAME_LEVEL4,VARCHAR2,160,,
FUND_CENTER_ID_LEVEL5,VARCHAR2,136,,
FUND_CENTER_NAME_LEVEL5,VARCHAR2,160,,
FUND_CENTER_ID_LEVEL6,VARCHAR2,136,,
FUND_CENTER_NAME_LEVEL6,VARCHAR2,160,,
FUND_CENTER_ID_LEVEL7,VARCHAR2,136,,
FUND_CENTER_NAME_LEVEL7,VARCHAR2,160,,
FUND_CENTER_ID_LEVEL8,VARCHAR2,136,,
FUND_CENTER_NAME_LEVEL8,VARCHAR2,160,,
FUND_CENTER_ID_LEVEL9,VARCHAR2,136,,
FUND_CENTER_NAME_LEVEL9,VARCHAR2,160,,
FUND_CENTER_ID_LEVEL10,VARCHAR2,136,,
FUND_CENTER_NAME_LEVEL10,VARCHAR2,160,,
WAREHOUSE_LOAD_DATE,DATE,7,,
