COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
MIT_ID,VARCHAR2,36,,FOREIGN KEY WAREHOUSE_USERS (MIT_ID)
LAST_NAME,VARCHAR2,160,,
FIRST_NAME,VARCHAR2,160,,
MIDDLE_NAME,VARCHAR2,160,,
TERMINAL_DEGREE,VARCHAR2,80,,
APPOINTMENT_TYPE,VARCHAR2,120,,
JOB_TITLE,VARCHAR2,160,,
HR_ORG_UNIT_TITLE,VARCHAR2,300,,
POSITION_TITLE,VARCHAR2,540,,
ADMIN_ORG_UNIT_TITLE,VARCHAR2,300,,
ADMIN_POSITION_TITLE,VARCHAR2,200,,
ADMIN_JOB_TITLE,VARCHAR2,160,,
DIRECTORY_ORG_UNIT_TITLE,VARCHAR2,300,,
ENDOWED_CHAIR,VARCHAR2,160,,
EMERITUS_STATUS,CHAR,8,,
WAREHOUSE_LOAD_DATE,DATE,7,,
