COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
HR_ORG_UNIT_KEY,VARCHAR2,40,PRIMARY KEY,
HR_ORG_UNIT_ID,VARCHAR2,32,,
HR_ORG_UNIT_TITLE,VARCHAR2,300,,
HR_ORG_UNIT_LEVEL,VARCHAR2,120,,
HR_DEPARTMENT_ID,VARCHAR2,32,,
HR_DEPARTMENT_CODE,VARCHAR2,48,,
HR_DEPARTMENT_CODE_OLD,VARCHAR2,24,,
HR_DEPARTMENT_NAME,VARCHAR2,300,,
HR_DEPARTMENT_NAME_LONG,VARCHAR2,400,,
HR_DEPARTMENT_NAME_ALPHA,VARCHAR2,300,,
ORG_HIER_SCHOOL_AREA_NAME,VARCHAR2,300,,
ORG_HIER_TOP_LEVEL_NAME,VARCHAR2,300,,
ORG_HIER_ROOT_NAME,VARCHAR2,300,,
HR_ORG_LEVEL1_ID,VARCHAR2,32,,
HR_ORG_LEVEL1_SORT,VARCHAR2,16,,
HR_ORG_LEVEL1_NAME,VARCHAR2,300,,
HR_ORG_LEVEL2_ID,VARCHAR2,32,,
HR_ORG_LEVEL2_SORT,VARCHAR2,16,,
HR_ORG_LEVEL2_NAME,VARCHAR2,300,,
HR_ORG_LEVEL3_ID,VARCHAR2,32,,
HR_ORG_LEVEL3_SORT,VARCHAR2,16,,
HR_ORG_LEVEL3_NAME,VARCHAR2,300,,
HR_ORG_LEVEL4_ID,VARCHAR2,32,,
HR_ORG_LEVEL4_SORT,VARCHAR2,16,,
HR_ORG_LEVEL4_NAME,VARCHAR2,300,,
HR_ORG_LEVEL5_ID,VARCHAR2,32,,
HR_ORG_LEVEL5_SORT,VARCHAR2,16,,
HR_ORG_LEVEL5_NAME,VARCHAR2,300,,
HR_ORG_LEVEL6_ID,VARCHAR2,32,,
HR_ORG_LEVEL6_SORT,VARCHAR2,16,,
HR_ORG_LEVEL6_NAME,VARCHAR2,300,,
HR_ORG_LEVEL7_ID,VARCHAR2,32,,
HR_ORG_LEVEL7_SORT,VARCHAR2,16,,
HR_ORG_LEVEL7_NAME,VARCHAR2,300,,
DLC_KEY,VARCHAR2,180,,FOREIGN KEY FCLT_ORG_DLC_KEY (DLC_KEY)
DLC_NAME,VARCHAR2,840,,
WAREHOUSE_LOAD_DATE,DATE,7,,
