COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
IAP_SUBJECT_CATEGORY_KEY,VARCHAR2,128,,FOREIGN KEY IAP_SUBJECT_CATEGORY (IAP_SUBJECT_CATEGORY_KEY)
IAP_SUBJECT_SPONSOR_KEY,VARCHAR2,128,,FOREIGN KEY IAP_SUBJECT_SPONSOR (IAP_SUBJECT_SPONSOR_KEY)
IAP_SUBJECT_SESSION_KEY,VARCHAR2,128,,FOREIGN KEY IAP_SUBJECT_SESSION (IAP_SUBJECT_SESSION_KEY)
IAP_SUBJECT_PERSON_KEY,VARCHAR2,128,,FOREIGN KEY IAP_SUBJECT_PERSON (IAP_SUBJECT_PERSON_KEY)
ACTIVITY_TITLE,VARCHAR2,600,,
ACTIVITY_DESCRIPTION,VARCHAR2,4000,,
TERM_CODE,VARCHAR2,24,,FOREIGN KEY ACADEMIC_TERMS_ALL (TERM_CODE)
ENROLLMENT_TYPE,VARCHAR2,320,,
MAX_ENROLLMENT,NUMBER,22,,
ATTENDANCE,VARCHAR2,320,,
PREREQUISITES,VARCHAR2,240,,
FEE,NUMBER,22,,
FEE_REASON,VARCHAR2,240,,
PREREG_DEADLINE,DATE,7,,
CREATE_DATE,DATE,7,,
LAST_ACTIVITY_DATE,DATE,7,,
IS_MULTIPLE_SESSION,VARCHAR2,1,,
IS_CANCELLED,VARCHAR2,1,,
WAREHOUSE_LOAD_DATE,DATE,7,,
