COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
HIERARCHY_TYPE,VARCHAR2,600,,
DLC_KEY,VARCHAR2,180,,FOREIGN KEY FCLT_ORG_DLC_KEY (DLC_KEY)
DLC_CODE,VARCHAR2,180,,
DLC_NAME,VARCHAR2,840,,
MASTER_DEPT_HIER_LEVEL_1_CODE,VARCHAR2,180,,
MASTER_DEPT_HIER_LEVEL_1_NAME,VARCHAR2,840,,
MASTER_DEPT_HIER_LEVEL_2_CODE,VARCHAR2,180,,
MASTER_DEPT_HIER_LEVEL_2_NAME,VARCHAR2,840,,
MASTER_DEPT_HIER_LEVEL_3_CODE,VARCHAR2,180,,
MASTER_DEPT_HIER_LEVEL_3_NAME,VARCHAR2,840,,
MASTER_DEPT_HIER_LEVEL_4_CODE,VARCHAR2,180,,
MASTER_DEPT_HIER_LEVEL_4_NAME,VARCHAR2,840,,
MASTER_DEPT_HIER_LEVEL_5_CODE,VARCHAR2,180,,
MASTER_DEPT_HIER_LEVEL_5_NAME,VARCHAR2,840,,
