COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
MIT_ID,VARCHAR2,36,,FOREIGN KEY WAREHOUSE_USERS (MIT_ID)
FULL_NAME,VARCHAR2,400,,
FORM_OF_ADDRESS_SHORT,VARCHAR2,20,,
FIRST_NAME,VARCHAR2,160,,
MIDDLE_NAME,VARCHAR2,160,,
LAST_NAME,VARCHAR2,160,,
KRB_NAME_UPPERCASE,VARCHAR2,120,,
EMAIL_ADDRESS,VARCHAR2,400,,
JOB_ID,VARCHAR2,32,,
JOB_TITLE,VARCHAR2,160,,
ADMIN_EMPLOYEE_TYPE,VARCHAR2,160,,
HR_DEPARTMENT_CODE_OLD,VARCHAR2,24,,
HR_DEPARTMENT_NAME,VARCHAR2,300,,
HR_ORG_UNIT_ID,VARCHAR2,32,,
ADMIN_ORG_UNIT_TITLE,VARCHAR2,300,,
ADMIN_POSITION_TITLE,VARCHAR2,200,,
PAYROLL_RANK,VARCHAR2,120,,
IS_FACULTY,VARCHAR2,1,,
EMPLOYMENT_PERCENT,NUMBER,22,,
IS_CONSULT_PRIV,CHAR,1,,
IS_PAID_APPT,VARCHAR2,1,,
IS_SUMMER_SESSION_APPT,VARCHAR2,1,,
SUMMER_SESSION_MONTHS,NUMBER,22,,
IS_SABBATICAL,VARCHAR2,1,,
SABBATICAL_BEGIN_DATE,DATE,7,,
SABBATICAL_END_DATE,DATE,7,,
IS_OPA_REQUIRED,CHAR,1,,
IS_6MO_APPT,VARCHAR2,1,,
PERSONNEL_SUBAREA,VARCHAR2,160,,
PERSONNEL_SUBAREA_CODE,VARCHAR2,16,,
WAREHOUSE_LOAD_DATE,DATE,7,,
