COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
PROFIT_CENTER_KEY,VARCHAR2,44,PRIMARY KEY,
PROFIT_CENTER_ID,VARCHAR2,28,,
PROFIT_CENTER_NAME,VARCHAR2,200,,
PC_LEVEL1_SORT,NUMBER,22,,
PC_LEVEL1_CATEGORY,VARCHAR2,160,,
PC_LEVEL2_SORT,NUMBER,22,,
PC_LEVEL2_CATEGORY,VARCHAR2,160,,
PC_LEVEL3_SORT,NUMBER,22,,
PC_LEVEL3_CATEGORY,VARCHAR2,160,,
PC_LEVEL4_SORT,NUMBER,22,,
PC_LEVEL4_CATEGORY,VARCHAR2,160,,
PC_LEVEL5_SORT,NUMBER,22,,
PC_LEVEL5_CATEGORY,VARCHAR2,160,,
PC_LEVEL6_SORT,NUMBER,22,,
PC_LEVEL6_CATEGORY,VARCHAR2,160,,
PC_LEVEL7_SORT,NUMBER,22,,
PC_LEVEL7_CATEGORY,VARCHAR2,160,,
PC_LEVEL8_SORT,NUMBER,22,,
PC_LEVEL8_CATEGORY,VARCHAR2,160,,
DLC_KEY,VARCHAR2,180,,FOREIGN KEY FCLT_ORG_DLC_KEY (DLC_KEY)
DLC_NAME,VARCHAR2,840,,
WAREHOUSE_LOAD_DATE,DATE,7,,
PROFIT_CENTER_GROUP_CODE,VARCHAR2,48,PRIMARY KEY,
PROFIT_CENTER_GROUP_NAME,VARCHAR2,160,,
