COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
SIS_COURSE_DESCRIPTION_KEY,VARCHAR2,48,PRIMARY KEY,
COURSE,VARCHAR2,36,,
COURSE_DESCRIPTION,VARCHAR2,120,,
COURSE_DESCRIPTION_LONG,VARCHAR2,960,,
DEPARTMENT,VARCHAR2,16,,
DEPARTMENT_NAME,VARCHAR2,120,,
DEPT_NAME_IN_COMMENCEMENT_BK,VARCHAR2,320,,
SCHOOL_NAME,VARCHAR2,120,,
SCHOOL_NAME_IN_COMMENCEMENT_BK,VARCHAR2,240,,
FROM_TERM,VARCHAR2,24,,
FROM_TERM_DESCRIPTION,VARCHAR2,120,,
THRU_TERM,VARCHAR2,24,,
THRU_TERM_DESCRIPTION,VARCHAR2,120,,
COURSE_OPTION,VARCHAR2,16,,
COURSE_LEVEL,VARCHAR2,8,,
CIP_PROGRAM_CODE,VARCHAR2,24,,
IS_DEGREE_GRANTING,CHAR,1,,
DEFAULT_ULTIMATE_DEGREE,VARCHAR2,12,,
GRADAUTE_LEVEL,VARCHAR2,8,,
GRADUATE_LEVEL,VARCHAR2,8,,
LAST_ACTIVITY_DATE,DATE,7,,
WAREHOUSE_LOAD_DATE,DATE,7,,
