COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
DEPARTMENT_CODE,VARCHAR2,16,,FOREIGN KEY STUDENT_DEPARTMENT (DEPARTMENT_CODE)
DEPARTMENT_NAME,VARCHAR2,120,,
DEPARTMENT_FULL_NAME,VARCHAR2,140,,
SCHOOL_CODE,VARCHAR2,8,,
SCHOOL_NAME,VARCHAR2,120,,
DEPT_BUDGET_CODE,VARCHAR2,24,,
IS_DEGREE_GRANTING,VARCHAR2,4,,
DEPT_NAME_IN_COMMENCEMENT_BK,VARCHAR2,320,,
SCHOOL_NAME_IN_COMMENCEMENT_BK,VARCHAR2,240,,
DEPARTMENT_NAME_HISTORY,VARCHAR2,1000,,
DEPARTMENT_LAST_ACTIVITY_DATE,DATE,7,,
DLC_KEY,VARCHAR2,180,,FOREIGN KEY FCLT_ORG_DLC_KEY (DLC_KEY)
WAREHOUSE_LOAD_DATE,DATE,7,,
