COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
BUILDING_KEY,VARCHAR2,32,,FOREIGN KEY BUILDINGS (BUILDING_KEY)
FLOOR_KEY,VARCHAR2,16,,FOREIGN KEY FAC_FLOOR (FLOOR_KEY)
SPACE_UNIT_KEY,VARCHAR2,24,,FOREIGN KEY SPACE_UNIT (SPACE_UNIT_KEY)
SPACE_USAGE_KEY,NUMBER,22,,FOREIGN KEY SPACE_USAGE (SPACE_USAGE_KEY)
BUILDING_ROOM,VARCHAR2,64,,
BUILDING_ROOM_NAME,VARCHAR2,80,,
ROOM_NUMBER,VARCHAR2,32,,
ROOM_SQUARE_FOOTAGE,NUMBER,22,,
ROOM_COUNTER,NUMBER,22,,
BUILDING_COMPONENT,VARCHAR2,32,,
WAREHOUSE_LOAD_DATE,DATE,7,,
