COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
DEGREE_CODE,VARCHAR2,32,PRIMARY KEY,
DEGREE_DESC,VARCHAR2,960,,
DEGREE_DESC_SHORT,VARCHAR2,480,,
DEGREE_TYPE,VARCHAR2,12,,
DEGREE_TYPE_DESC,VARCHAR2,400,,
DEGREE_WEIGHT,NUMBER,22,,
FROM_TERM,VARCHAR2,24,,
THRU_TERM,VARCHAR2,24,,
DEPARTMENT,VARCHAR2,16,,
DEPT_NAME_IN_COMMENCEMENT_BK,VARCHAR2,320,,
SCHOOL_NAME_IN_COMMENCEMENT_BK,VARCHAR2,240,,
COURSE,VARCHAR2,36,,
COURSE_LEVEL,VARCHAR2,8,,
IS_DOUBLE_MAJOR,VARCHAR2,4,,
COMMENCEMENT_BK_COURSE_ROMAN,VARCHAR2,320,,
COMMENCEMENT_BK_SEE_ALSO,VARCHAR2,200,,
DEGREE_LAST_ACTIVITY_DATE,DATE,7,,
COURSE_LAST_ACTIVITY_DATE,DATE,7,,
WAREHOUSE_LOAD_DATE,DATE,7,,
