COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
SUBJECT_KEY,VARCHAR2,64,PRIMARY KEY,
SUBJECT_OFFERED_SUMMARY_KEY,VARCHAR2,56,,FOREIGN KEY SUBJECT_OFFERED_SUMMARY (SUBJECT_OFFERED_SUMMARY_KEY)
MASTER_SUBJECT_KEY,VARCHAR2,132,,
COMPOSITE_SUBJECT_KEY,VARCHAR2,56,,
TERM_CODE,VARCHAR2,24,,FOREIGN KEY ACADEMIC_TERMS_ALL (TERM_CODE)
MASTER_COURSE_NUMBER,VARCHAR2,32,,
MASTER_COURSE_NUMBER_SORT,VARCHAR2,12,,
MASTER_COURSE_NUMBER_DESC,VARCHAR2,120,,
MASTER_SUBJECT_ID,VARCHAR2,32,,
MASTER_SUBJECT_ID_SORT,VARCHAR2,48,,
COURSE_NUMBER,VARCHAR2,32,,
COURSE_NUMBER_SORT,VARCHAR2,12,,
COURSE_NUMBER_DESC,VARCHAR2,120,,
SUBJECT_ID,VARCHAR2,32,,FOREIGN KEY COURSE_CATALOG_SUBJECT_OFFERED (SUBJECT_ID)
SUBJECT_ID_SORT,VARCHAR2,48,,
SUBJECT_TITLE,VARCHAR2,240,,
SECTION_ID,VARCHAR2,64,,
IS_MASTER_SECTION,VARCHAR2,4,,
IS_LECTURE_SECTION,VARCHAR2,4,,
IS_LAB_SECTION,VARCHAR2,4,,
IS_RECITATION_SECTION,VARCHAR2,4,,
IS_DESIGN_SECTION,VARCHAR2,4,,
OFFER_DEPT_CODE,VARCHAR2,32,,
OFFER_DEPT_NAME,VARCHAR2,120,,
OFFER_SCHOOL_NAME,VARCHAR2,120,,
RESPONSIBLE_FACULTY_NAME,VARCHAR2,308,,
RESPONSIBLE_FACULTY_MIT_ID,VARCHAR2,36,,
MEET_TIME,VARCHAR2,120,,
MEET_PLACE,VARCHAR2,60,,
CLUSTER_TYPE,VARCHAR2,4,,
CLUSTER_TYPE_DESC,VARCHAR2,120,,
CLUSTER_LIST,VARCHAR2,4000,,
HGN_CODE,VARCHAR2,4,,
HGN_CODE_DESC,VARCHAR2,116,,
FORM_TYPE,VARCHAR2,4,,
FORM_TYPE_DESC,VARCHAR2,48,,
SUBJECT_ENROLLMENT_NUMBER,NUMBER,22,,
SECTION_ENROLLMENT_NUMBER,VARCHAR2,40,,
CLUSTER_ENROLLMENT_NUMBER,NUMBER,22,,
EVALUATE_THIS_SUBJECT,VARCHAR2,4,,
IS_OSE_SUBJECT,VARCHAR2,4,,
IS_CREATED_BY_DATA_WAREHOUSE,VARCHAR2,4,,
SUBJECT_GROUPING_KEY,VARCHAR2,128,,FOREIGN KEY SUBJECT_GROUPING (SUBJECT_GROUPING_KEY)
WAREHOUSE_LOAD_DATE,DATE,7,,
NUM_ENROLLED_STUDENTS,NUMBER,22,,
SUBJECT_SUMMARY_KEY,VARCHAR2,56,,FOREIGN KEY SUBJECT_SUMMARY (SUBJECT_SUMMARY_KEY)
IS_REPEATABLE_SUBJECT,VARCHAR2,4,,
