COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
SUBJECT_OFFERED_SUMMARY_KEY,VARCHAR2,56,PRIMARY KEY,
COMPOSITE_SUBJECT_KEY,VARCHAR2,56,,
TERM_CODE,VARCHAR2,24,,FOREIGN KEY ACADEMIC_TERMS_ALL (TERM_CODE)
COURSE_NUMBER,VARCHAR2,32,,
SUBJECT_ID,VARCHAR2,32,,FOREIGN KEY COURSE_CATALOG_SUBJECT_OFFERED (SUBJECT_ID)
SUBJECT_ID_SORT,VARCHAR2,48,,
SUBJECT_TITLE,VARCHAR2,240,,
MASTER_SUBJECT_ID,VARCHAR2,32,,
MASTER_SUBJECT_ID_SORT,VARCHAR2,48,,
CLUSTER_TYPE,VARCHAR2,4,,
CLUSTER_TYPE_DESC,VARCHAR2,120,,
CLUSTER_LIST,VARCHAR2,4000,,
HGN_CODE,VARCHAR2,4,,
HGN_CODE_DESC,VARCHAR2,116,,
OFFER_DEPT_CODE,VARCHAR2,32,,
OFFER_DEPT_NAME,VARCHAR2,120,,
OFFER_SCHOOL_NAME,VARCHAR2,120,,
RESPONSIBLE_FACULTY_NAME,VARCHAR2,308,,
RESPONSIBLE_FACULTY_MIT_ID,VARCHAR2,36,,
TOTAL_UNITS,NUMBER,22,,
LECTURE_UNITS,NUMBER,22,,
LAB_UNITS,NUMBER,22,,
PREPARATION_UNITS,NUMBER,22,,
SUBJECT_ENROLLMENT_NUMBER,NUMBER,22,,
CLUSTER_ENROLLMENT_NUMBER,NUMBER,22,,
WAREHOUSE_LOAD_DATE,DATE,7,,
NUM_ENROLLED_STUDENTS,NUMBER,22,,
SUBJECT_GROUPING_KEY,VARCHAR2,128,,FOREIGN KEY SUBJECT_GROUPING (SUBJECT_GROUPING_KEY)
SUBJECT_SUMMARY_KEY,VARCHAR2,56,,FOREIGN KEY SUBJECT_SUMMARY (SUBJECT_SUMMARY_KEY)
