COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
SUBJECT_SUMMARY_KEY,VARCHAR2,56,PRIMARY KEY,
TERM_CODE,VARCHAR2,24,,FOREIGN KEY ACADEMIC_TERMS_ALL (TERM_CODE)
SUBJECT_ID,VARCHAR2,32,,FOREIGN KEY COURSE_CATALOG_SUBJECT_OFFERED (SUBJECT_ID)
SUBJECT_ID_SORT,VARCHAR2,48,,
SUBJECT_TITLE,VARCHAR2,240,,
SUBJECT_OR_CLUSTER,VARCHAR2,4000,,
MASTER_SUBJECT_ID,VARCHAR2,32,,
MASTER_SUBJECT_ID_SORT,VARCHAR2,48,,
ULT_MASTER_SUBJECT_ID,VARCHAR2,32,,
CLUSTER_TYPE,VARCHAR2,4,,
CLUSTER_TYPE_DESC,VARCHAR2,120,,
CLUSTER_LIST,VARCHAR2,4000,,
DEPARTMENT_CODE,VARCHAR2,32,,FOREIGN KEY STUDENT_DEPARTMENT (DEPARTMENT_CODE)
DEPARTMENT_NAME,VARCHAR2,120,,
SCHOOL_CODE,VARCHAR2,8,,
SCHOOL_NAME,VARCHAR2,120,,
TOTAL_UNITS,NUMBER,22,,
LECTURE_UNITS,NUMBER,22,,
LAB_UNITS,NUMBER,22,,
PREP_UNITS,NUMBER,22,,
DESIGN_UNITS,NUMBER,22,,
SUBJECT_ENROLLMENT_NUMBER,NUMBER,22,,
CLUSTER_ENROLLMENT_NUMBER,NUMBER,22,,
SUBJECT_GROUP_ID,VARCHAR2,128,,
SUBJECT_ENROLLMENT_FIRST_WEEK,NUMBER,22,,
CLUSTER_ENROLLMENT_FIRST_WEEK,NUMBER,22,,
SUBJECT_ENROLLMENT_FIFTH_WEEK,NUMBER,22,,
CLUSTER_ENROLLMENT_FIFTH_WEEK,NUMBER,22,,
SUBJECT_ENROLLMENT_CREDIT,NUMBER,22,,
SUBJECT_ENROLLMENT_LISTEN,NUMBER,22,,
CLUSTER_ENROLLMENT_CREDIT,NUMBER,22,,
CLUSTER_ENROLLMENT_LISTEN,NUMBER,22,,
SUBJECT_ENROLLMENT_1ST_CREDIT,NUMBER,22,,
SUBJECT_ENROLLMENT_1ST_LISTEN,NUMBER,22,,
CLUSTER_ENROLLMENT_1ST_CREDIT,NUMBER,22,,
CLUSTER_ENROLLMENT_1ST_LISTEN,NUMBER,22,,
SUBJECT_ENROLLMENT_5TH_CREDIT,NUMBER,22,,
SUBJECT_ENROLLMENT_5TH_LISTEN,NUMBER,22,,
CLUSTER_ENROLLMENT_5TH_CREDIT,NUMBER,22,,
CLUSTER_ENROLLMENT_5TH_LISTEN,NUMBER,22,,
WAREHOUSE_LOAD_DATE,DATE,7,,
