COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
FISCAL_PERIOD,VARCHAR2,24,,FOREIGN KEY FRC_FISCAL_PERIODS (FISCAL_PERIOD)
FISCAL_YEAR,VARCHAR2,16,,
FISCAL_PERIOD_DESCRIPTION,VARCHAR2,120,,
CALENDAR_PERIOD,VARCHAR2,24,,
CALENDAR_PERIOD_DESCRIPTION,VARCHAR2,120,,
CALENDAR_YEAR,VARCHAR2,16,,
START_DATE,DATE,7,,
END_DATE,DATE,7,,
CALENDAR_DATE,DATE,7,PRIMARY KEY,
DAY_OF_WEEK,VARCHAR2,144,,
FINANCIAL_AID_YEAR,VARCHAR2,16,,
FINANCIAL_AID_YEAR_DESC,VARCHAR2,120,,
ACADEMIC_YEAR,VARCHAR2,16,,
ACADEMIC_TERM_CODE,VARCHAR2,24,,
ACADEMIC_TERM_DESCRIPTION,VARCHAR2,120,,
