COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
IS_CLOSING_PERIOD,VARCHAR2,4,,
FISCAL_PERIOD_SELECTOR,VARCHAR2,132,,
IS_CURRENT_FISCAL_YEAR,VARCHAR2,4,,
TIME_MONTH_KEY,VARCHAR2,24,PRIMARY KEY,
FISCAL_PERIOD,VARCHAR2,24,,FOREIGN KEY FRC_FISCAL_PERIODS (FISCAL_PERIOD)
FISCAL_PERIOD_DESCRIPTION,VARCHAR2,120,,
FISCAL_YEAR,VARCHAR2,16,,
FISCAL_YEAR_QUARTER,VARCHAR2,68,,
FY_QUARTER_CODE,VARCHAR2,32,,
CALENDAR_PERIOD,VARCHAR2,36,,
CALENDAR_PERIOD_DESCRIPTION,VARCHAR2,120,,
CALENDAR_YEAR,VARCHAR2,16,,
START_DATE,DATE,7,,
END_DATE,DATE,7,,
CALENDAR_MONTH,VARCHAR2,8,,
CALENDAR_MONTH_NAME,VARCHAR2,40,,
IS_CURRENT_FISCAL_PERIOD,VARCHAR2,4,,
IS_PREVIOUS_FISCAL_PERIOD,VARCHAR2,4,,
ACADEMIC_YEAR,VARCHAR2,16,,
ACADEMIC_TERM,VARCHAR2,24,,
ACADEMIC_TERM_DESCRIPTION,VARCHAR2,120,,
FINANCIAL_AID_YEAR,VARCHAR2,16,,
FINANCIAL_AID_YEAR_DESC,VARCHAR2,120,,
