COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
FISCAL_YEAR,VARCHAR2,16,,
FY_QUARTER_CODE,VARCHAR2,32,,
FY_QUARTER_NAME,VARCHAR2,68,,
CY_QUARTER_CODE,VARCHAR2,32,,
CY_QUARTER_NAME,VARCHAR2,68,,
CALENDAR_YEAR,VARCHAR2,16,,
QUARTER_START_DATE,DATE,7,,
QUARTER_END_DATE,DATE,7,,
QUARTER_START_FP,VARCHAR2,24,,
QUARTER_END_FP,VARCHAR2,24,,
QUARTER_CERT_OPEN,DATE,7,,
QUARTER_CERT_EXPECTED,DATE,7,,
QUARTER_CERT_DUE,DATE,7,,
IS_CURRENT_QUARTER,VARCHAR2,4,,
IS_NEXT_QUARTER,VARCHAR2,4,,
IS_PREVIOUS_QUARTER,VARCHAR2,4,,
IS_PAST_QUARTER,VARCHAR2,4,,
IS_FUTURE_QUARTER,VARCHAR2,4,,
PAYROLL_EDACCA_CERT_SCHED_KEY,VARCHAR2,24,,
WAREHOUSE_LOAD_DATE,DATE,7,,
