COLUMN_NAME,DATA_TYPE,DATA_LENGTH,PKEY,FKEY
TIP_SUBJECT_OFFERED_KEY,VARCHAR2,64,PRIMARY KEY,
TERM_CODE,VARCHAR2,24,,FOREIGN KEY ACADEMIC_TERMS_ALL (TERM_CODE)
IS_NO_COURSE_MATERIAL,VARCHAR2,4,,
MASTER_COURSE_NUMBER,VARCHAR2,32,,
MASTER_COURSE_NUMBER_SORT,VARCHAR2,12,,
MASTER_COURSE_NUMBER_DESC,VARCHAR2,120,,
MASTER_SUBJECT_ID,VARCHAR2,32,,
MASTER_SUBJECT_ID_SORT,VARCHAR2,48,,
COURSE_NUMBER,VARCHAR2,32,,
COURSE_NUMBER_SORT,VARCHAR2,12,,
COURSE_NUMBER_DESC,VARCHAR2,120,,
SUBJECT_ID,VARCHAR2,32,,FOREIGN KEY COURSE_CATALOG_SUBJECT_OFFERED (SUBJECT_ID)
SUBJECT_ID_SORT,VARCHAR2,48,,
SUBJECT_TITLE,VARCHAR2,240,,
OFFER_DEPT_CODE,VARCHAR2,32,,
OFFER_DEPT_NAME,VARCHAR2,120,,
OFFER_SCHOOL_NAME,VARCHAR2,120,,
RESPONSIBLE_FACULTY_NAME,VARCHAR2,308,,
RESPONSIBLE_FACULTY_MIT_ID,VARCHAR2,36,,
NUM_ENROLLED_STUDENTS,NUMBER,22,,
WAREHOUSE_LOAD_DATE,DATE,7,,
